"","unique.New_List.Family."
"1","Erpobdellidae"
"2","Haemopidae"
"3","Hirudinidae"
"4","Glossiphoniidae"
"5","Piscicolidae"
"6","Hirudinea"
"7","Enchytraeidae"
"8","Haplotaxidae"
"9","Haplotaxida"
"10","Lumbriculidae"
"11","Lumbriculida"
"12","Lumbricidae"
"13","Megascolecidae"
"14","Sparganophilidae"
"15","Lumbricina"
"16","Naididae"
"17","Oligochaeta"
"18","Branchiobdellidae"
"19","Branchiobdellida"
"20","Aeolosomatidae"
"21","Clitellata"
"22","Nereididae"
"23","Sabellidae"
"24","Spionidae"
"25","Annelida"
"26","Arrenuridae"
"27","Aturidae"
"28","Hydrachnidae"
"29","Hydrodromidae"
"30","Hydryphantidae"
"31","Hygrobatidae"
"32","Krendowskiidae"
"33","Lebertiidae"
"34","Limnesiidae"
"35","Limnocharidae"
"36","Mideopsidae"
"37","Oxidae"
"38","Pionidae"
"39","Rhynchohydracaridae"
"40","Sperchonidae"
"41","Torrenticolidae"
"42","Unionicolidae"
"43","Wettinidae"
"44","Prostigmata"
"45","Trombidiformes"
"46","Acari"
"47","Arachnida"
"48","Daphniidae"
"49","Cladocera"
"50","Corophiidae"
"51","Crangonyctidae"
"52","Gammaridae"
"53","Hyalellidae"
"54","Talitridae"
"55","Amphipoda"
"56","Cambaridae"
"57","Palaemonidae"
"58","Portunidae"
"59","Decapoda"
"60","Anthuridae"
"61","Asellidae"
"62","Idoteidae"
"63","Isopoda"
"64","Branchiura"
"65","Calanoida"
"66","Cyclopoida"
"67","Copepoda"
"68","Podocopa"
"69","Ostracoda"
"70","Cyphoderidae"
"71","Entomobryidae"
"72","Isotomatidae"
"73","Isotomidae"
"74","Hypogastruridae"
"75","Odontellidae"
"76","Onychiuridae"
"77","Poduridae"
"78","Bourletiellidae"
"79","Sminthuridae"
"80","Collembola"
"81","Carabidae"
"82","Dytiscidae"
"83","Gyrinidae"
"84","Haliplidae"
"85","Noteridae"
"86","Sphaeriusidae"
"87","Chrysomelidae"
"88","Curculionidae"
"89","Dryopidae"
"90","Elmidae"
"91","Erirhinidae"
"92","Hdrochidae"
"93","Helodidae"
"94","Helophoridae"
"95","Hydraenidae"
"96","Hydrochidae"
"97","Hydrophilidae"
"98","Lampyridae"
"99","Limnichidae"
"100","Lutrochidae"
"101","Melyridae"
"102","Psephenidae"
"103","Ptilodactylidae"
"104","Scirtidae"
"105","Staphylinidae"
"106","Coleoptera"
"107","Athericidae"
"108","Clusiidae"
"109","Dolichopodidae"
"110","Empididae"
"111","Ephydridae"
"112","Muscidae"
"113","Pelecorhynchidae"
"114","Phoridae"
"115","Sarcophagidae"
"116","Scathophagidae"
"117","Sciomyzidae"
"118","Stratiomyidae"
"119","Syrphidae"
"120","Tabanidae"
"121","Brachycera"
"122","Blephariceridae"
"123","Cecidomyiidae"
"124","Ceratopogonidae"
"125","Chaoboridae"
"126","Chironomidae"
"127","Culicidae"
"128","Dixidae"
"129","Mycetophilidae"
"130","Nymphomyiidae"
"131","Prodiamesinae"
"132","Psychodidae"
"133","Ptychopteridae"
"134","Sciaridae"
"135","Simuliidae"
"136","Tanyderidae"
"137","Thaumaleidae"
"138","Tipulidae"
"139","Trichoceridae"
"140","Diptera"
"141","Baetiscidae"
"142","Caenidae"
"143","Ephemerellidae"
"144","Ephemeridae"
"145","Leptohyphidae"
"146","Leptophlebiidae"
"147","Neoephemeridae"
"148","Palingeniidae"
"149","Polymitarcyidae"
"150","Potamanthidae"
"151","Tricorythidae"
"152","Furcatergalia"
"153","Ameletidae"
"154","Baetidae"
"155","Heptageniidae"
"156","Isonychiidae"
"157","Metretopodidae"
"158","Oligoneuriidae"
"159","Siphlonuridae"
"160","Ephemeroptera"
"161","Belostomatidae"
"162","Corixidae"
"163","Gelastocoridae"
"164","Gerridae"
"165","Hebridae"
"166","Hydrometridae"
"167","Macroveliidae"
"168","Mesoveliidae"
"169","Naucoridae"
"170","Nepidae"
"171","Notonectidae"
"172","Ochteridae"
"173","Pleidae"
"174","Saldidae"
"175","Veliidae"
"176","Heteroptera"
"177","Hemiptera"
"178","Braconidae"
"179","Cynipidae"
"180","Hymenoptera"
"181","Cosmopterigidae"
"182","Cossidae"
"183","Crambidae"
"184","Noctuidae"
"185","Pyralidae"
"186","Tortricidae"
"187","Lepidoptera"
"188","Corydalidae"
"189","Sialidae"
"190","Megaloptera"
"191","Sisyridae"
"192","Neuroptera"
"193","Aeshnidae"
"194","Cordulegastridae"
"195","Corduliidae"
"196","Gomphidae"
"197","Libellulidae"
"198","Macromiidae"
"199","Petaluridae"
"200","Anisoptera"
"201","Zygoptera"
"202","Calopterygidae"
"203","Coenagrionidae"
"204","Lestidae"
"205","Protoneuridae"
"206","Capniidae"
"207","Leuctridae"
"208","Nemouridae"
"209","Taeniopterygidae"
"210","Euholognatha"
"211","Chloroperlidae"
"212","Peltoperlidae"
"213","Perlidae"
"214","Perlodidae"
