unique_id,metric,value,taxonomic_resolution,spatial_resolution,metric_class,influence_of_disturbance,ref_median,bound,metric_bde,upper,lower,score
west_101_x_2014,gold,36.4705882352941,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,21.1379072176816
west_101_x_2015,gold,35.9649122807018,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,18.6639544065644
west_101_x_2016,gold,6.45161290322581,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_101_x_2017,gold,1.85185185185185,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_102_x_2014,gold,32.1100917431193,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_102_x_2015,gold,37.6237623762376,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,26.7796593749394
west_102_x_2016,gold,12.8787878787879,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_102_x_2017,gold,26.3636363636364,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_103_x_2014,gold,55.8823529411765,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,100
west_103_x_2015,gold,40.5940594059406,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,41.311445234543
west_103_x_2016,gold,10.7843137254902,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_103_x_2017,gold,19.6261682242991,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_104_x_2014,gold,53.1531531531532,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,100
west_104_x_2015,gold,50,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,87.3287671232877
west_104_x_2016,gold,30.188679245283,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_104_x_2017,gold,60.3448275862069,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,100
west_105_x_2014,gold,44.8275862068966,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,62.0234158850125
west_105_x_2015,gold,36.1344537815126,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,19.4934138038777
west_105_x_2016,gold,19.0909090909091,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_105_x_2017,gold,47.0588235294118,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,72.9394497525037
west_106_x_2014,gold,38.3333333333333,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,30.2511415525114
west_106_x_2015,gold,18.8524590163935,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_106_x_2016,gold,0.729927007299281,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_106_x_2017,gold,3.59712230215827,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_107_x_2014,gold,10.4347826086956,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_107_x_2015,gold,17.8947368421053,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_108_x_2014,gold,11.6071428571429,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_108_x_2015,gold,33.6448598130841,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,7.3134041736014
west_108_x_2016,gold,36.144578313253,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,19.5429467380284
west_108_x_2017,gold,11.4035087719298,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_109_x_2014,gold,15.6521739130435,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_109_x_2015,gold,37.5,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,26.174168297456
west_109_x_2016,gold,39.4495412844037,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,35.7120415088242
west_109_x_2017,gold,20.1754385964912,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_110_r_2017,gold,9.44881889763779,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_110_x_2016,gold,21.6216216216216,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_110_x_2017,gold,17.3469387755102,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_114_r_2016,gold,29.0909090909091,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_ajc_x_2016,gold,17.6991150442478,family,coast,composition,decrease,52.59,32.15,66.67,52.59,32.15,0
west_101_x_2014,margalefs,7.25607063008208,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_101_x_2015,margalefs,5.96173394088421,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_101_x_2016,margalefs,1.99143665137261,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,21.6338073389441
west_101_x_2017,margalefs,2.98715497705891,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_102_x_2014,margalefs,6.43185673206464,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_102_x_2015,margalefs,5.48814184386026,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_102_x_2016,margalefs,2.48405580870175,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,92.0079726716791
west_102_x_2017,margalefs,3.47767813218246,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_103_x_2014,margalefs,5.47645079127467,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_103_x_2015,margalefs,6.48598581547122,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_103_x_2016,margalefs,1.49357748852946,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,0
west_103_x_2017,margalefs,3.97448929392281,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_104_x_2014,margalefs,4.46199863167797,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_104_x_2015,margalefs,4.46199863167797,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_104_x_2016,margalefs,4.47130045566316,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_104_x_2017,margalefs,6.92661494222346,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_105_x_2014,margalefs,5.45355388316196,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_105_x_2015,margalefs,5.43127840029336,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_105_x_2016,margalefs,3.47767813218246,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_105_x_2017,margalefs,6.41878356398306,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_106_x_2014,margalefs,2.98715497705891,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_106_x_2015,margalefs,4.95777625741996,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_106_x_2016,margalefs,1.49676595741643,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,0
west_106_x_2017,margalefs,2.98715497705891,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_107_x_2014,margalefs,2.98715497705891,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_107_x_2015,margalefs,3.03379096247562,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_108_x_2014,margalefs,2.98715497705891,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_108_x_2015,margalefs,3.48501413990207,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_108_x_2016,margalefs,4.16866829535579,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_108_x_2017,margalefs,2.47888812870998,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,91.2697326728546
west_109_x_2014,margalefs,2.99353191483287,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_109_x_2015,margalefs,3.48501413990207,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_109_x_2016,margalefs,4.46199863167797,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_109_x_2017,margalefs,4.47130045566316,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_110_r_2017,margalefs,2.99353191483287,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_110_x_2016,margalefs,5.45355388316196,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_110_x_2017,margalefs,5.52423460815442,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_114_r_2016,margalefs,5.46492277914386,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,100
west_ajc_x_2016,margalefs,1.99568794322191,family,coast,richness/diversity,decrease,2.54,1.84,73.02,2.54,1.84,22.2411347459875
west_101_x_2014,pct_ept_rich,13.3333333333333,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,0
west_101_x_2015,pct_ept_rich,30.7692307692308,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,86.9712848459443
west_101_x_2016,pct_ept_rich,20,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,28.283378746594
west_101_x_2017,pct_ept_rich,14.2857142857143,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,0
west_102_x_2014,pct_ept_rich,21.4285714285714,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,36.0685091475282
